,Name,runs,balls,fours,sixes,sr
206,Ashton Turner,0.0,0.0,0.0,0.0,0.0
207,Stuart Binny,0.0,0.0,0.0,0.0,0.0
208,Sam Billings,0.0,0.0,0.0,0.0,0.0
209,Amit Mishra,0.0,0.0,0.0,0.0,0.0
210,Sherfane Rutherford,0.0,0.0,0.0,0.0,0.0
211,Prithvi Raj,0.0,0.0,0.0,0.0,0.0
212,KC Cariappa,0.0,0.0,0.0,0.0,0.0
213,Dhruv Shorey,0.0,0.0,0.0,0.0,0.0
214,Heinrich Klaasen,0.0,0.0,0.0,0.0,0.0
215,Barinder Sran,0.0,0.0,0.0,0.0,0.0
216,Martin Guptill,0.0,0.0,0.0,0.0,0.0
217,Ish Sodhi,0.0,0.0,0.0,0.0,0.0
218,Basil Thampi,0.0,0.0,0.0,0.0,0.0
219,Mark Wood,0.0,0.0,0.0,0.0,0.0
220,Gautam Gambhir,0.0,0.0,0.0,0.0,0.0
221,Daniel Christian,0.0,0.0,0.0,0.0,0.0
222,Brendon McCullum,0.0,0.0,0.0,0.0,0.0
223,Vinay Kumar,0.0,0.0,0.0,0.0,0.0
224,D'Arcy Short,0.0,0.0,0.0,0.0,0.0
225,Ben Laughlin,0.0,0.0,0.0,0.0,0.0
226,Pradeep Sangwan,0.0,0.0,0.0,0.0,0.0
227,Billy Stanlake,0.0,0.0,0.0,0.0,0.0
228,Akila Dananjaya,0.0,0.0,0.0,0.0,0.0
229,Mitchell Johnson,0.0,0.0,0.0,0.0,0.0
230,Corey Anderson,0.0,0.0,0.0,0.0,0.0
231,Liam Plunkett,0.0,0.0,0.0,0.0,0.0
232,Manoj Tiwary,0.0,0.0,0.0,0.0,0.0
233,Alex Hales,0.0,0.0,0.0,0.0,0.0
234,Jean-Paul Duminy,0.0,0.0,0.0,0.0,0.0
235,Karn Sharma,0.0,0.0,0.0,0.0,0.0
236,Naman Ojha,0.0,0.0,0.0,0.0,0.0
237,Prashant Chopra,0.0,0.0,0.0,0.0,0.0
238,Javon Searles,0.0,0.0,0.0,0.0,0.0
239,Anureet Singh,0.0,0.0,0.0,0.0,0.0
